store_id;hub_id;store_name;store_segment;store_plan_price;store_latitude;store_longitude
3937;44;MRAIRAEMA ;FOOD;49;-254.351.398;-493.167.883
3938;44;SFAZI GRALA;FOOD;49;-254.351.398;-493.167.883
3943;44;GARIOLIS ;FOOD;49;-254.351.398;-493.167.883
3961;20;OULU! RUSACIMI ;FOOD;49.9;-22.996.848;-43.361.197
3965;28;PAZZI ZUM ;FOOD;49.9;-23.595.775;-46.685.984
3966;85;PAZZI ZUM ;FOOD;49.9;-2.351.525.271;-466.183.535
3968;85;POILA ;FOOD;49;-235.133.533;-466.183.535
3973;85;GRIME CRU ;GOOD;29.9;-235.133.533;-466.183.535
3984;85;VAOU SIUOUVUA;FOOD;49;-235.133.533;-466.183.535
3986;85;VUGIM LIVURS ;FOOD;49;-235.155.164;-466.183.535
3987;85;POI ILARUMUIMOI ;FOOD;49;-235.133.533;-466.183.535
3995;85;USIFLUS ;GOOD;29;-2.351.525.271;-466.183.535
3996;85;PASCIAMU ;FOOD;49;-2.351.525.271;-466.183.535
4002;43;IMIA VAMOI RISI ;FOOD;49;-254.412.212;-4.927.769
4003;85;EA POILI ;FOOD;49;-2.351.525.271;-466.183.535
4009;33;CILVAM GLUAM ;GOOD;29.9;-23.579.067;-46.594.006
4012;13;CICI PIRPU ;FOOD;0;-22.887.521;-43.283.366
4015;37;GARIOLIS ;FOOD;49;-23.507.105;-46.718.197
4016;85;FACZAPS ;FOOD;49;-2.351.525.271;-466.183.535
4022;18;RALGLIMEAI ;FOOD;49;-2.294.733;-43.183.534
4023;8;RALGLIMEAI ;FOOD;49;-22.921.475;-43.234.822
4025;37;RIARIZAMI ;FOOD;49.9;-23.507.105;-46.718.197
4026;25;RIARIZAMI ;FOOD;49.9;-23.570.765;-46.642.043
4058;85;MICI PULA;FOOD;49;-2.351.525.271;-466.183.535
4064;85;I CRUPURAI ;FOOD;49;-235.133.533;-466.183.535
4072;44;SUCOI LIMTRAS ;FOOD;49;-254.351.398;-493.167.883
4097;51;SMITAUR SMUIGZIUSU ;FOOD;49;-22.927.336;-43.572.533
4105;8;SZIPUAMG MASUCI ;GOOD;;-2.292.706;-432.385.163
4109;17;SZIPUAMG RUMRI SIMUI CRUZ ;GOOD;;-23.598.468;-46.636.687
4110;31;SZIPUAMG SIREAR SUA;GOOD;;-236.308.517;-46.735.398
4121;21;PIEO FIR SURU ;GOOD;29;-23.550.407;-46.721.291
4132;43;RIMI CURVUSUARI ;FOOD;49;-254.412.212;-4.927.769
4139;86;MIAOIMG ;FOOD;49;-2.354.150.197;-4.657.671.799
4142;18;CIRIROI U CAI ;FOOD;49.9;-2.294.733;-43.183.534
4151;85;OIGPUARO ;FOOD;49.9;-235.133.533;-466.184.904
4153;44;PIP CIRM GIUARUM ;FOOD;49;-254.351.398;-493.167.883
4157;51;IARIZOR FAM ;GOOD;49;-22.927.336;-43.572.533
4159;29;OIGPUARO ;FOOD;49.9;-23.561.053;-46.558.976
